productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,productkeywords,productnameshort,productweight,freeshippingitem,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription
AGR01,AGR01,Agera Ultimate Retinol Rejuvenator 35,5/1/2015 0:00,,Y,0,10/13/2015 10:23,,,,,Agera Ultimate Retinol Rejuvenator 35,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Serums & gels
AGR02,AGR02,Agera Ultimate Retinol Rejuvenator 60,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Ultimate Retinol Rejuvenator 60,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Serums & gels
AGR03,AGR03,Agera IGF Dermal Matrix MicroGel,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera IGF Dermal Matrix MicroGel,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Serums & gels
AGR04,AGR04,Agera Microemulsion Antioxidant Serum,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Microemulsion Antioxidant Serum,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Serums & gels
AGR05,AGR05,Agera Mag C Peptide Serum,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Mag C Peptide Serum,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,Serums & gels
AGR06,AGR06,Agera Nano Eye Lift,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Nano Eye Lift,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,"Eyecare, Serums & gels"
AGR07,AGR07,Agera Ultra Mild Cleanser,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Ultra Mild Cleanser,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
AGR08,AGR08,Agera Deep Cleansing Salicylic Wash,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Deep Cleansing Salicylic Wash,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
AGR09,AGR09,Agera Eye Makeup Cleanser,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Eye Makeup Cleanser,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer > Face Lotion,,,,N,,N,N,,,"Toners & cleansers, Moisturisers & creams, Serums & gels"
AGR10,AGR10,Agera Daily Moisturizing Protector SPF 25,5/1/2015 0:00,,Y,0,10/13/2015 10:25,,,,,Agera Daily Moisturizing Protector SPF 25,0.5,N,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,,,,N,,N,N,,,Suncare
